record,age,sex,weight,hungry,fast_food,fruit,vegetable,soft_drink,cigarette,alcohol
17,11,Male,NA,Never,0 days,I did not eat fruit during the past 7 days,I did not eat vegetables during the past 7 days,I did not drink carbonated soft drinks,0 days,0 days
18,13,Male,NA,Never,3 days,I did not eat fruit during the past 7 days,4 or more times per day,4 or more times per day,0 days,0 days
19,14,Female,NA,Never,0 days,1 to 3 times during the past 7 days,4 or more times per day,1 to 3 times during the past 7 days,0 days,1 or 2 days
20,13,Male,NA,Never,0 days,2 times per day,1 to 3 times during the past 7 days,4 or more times per day,0 days,0 days
21,13,Female,NA,Never,0 days,1 to 3 times during the past 7 days,4 to 6 times during the past 7 days,1 to 3 times during the past 7 days,0 days,0 days
22,14,Male,NA,Rarely,0 days,1 time per day,I did not eat vegetables during the past 7 days,4 or more times per day,0 days,0 days
23,13,Male,Average weight,Never,0 days,2 times per day,2 times per day,1 to 3 times during the past 7 days,0 days,10 to 19 days
24,14,Male,Overweight,Never,0 days,1 time per day,3 times per day,I did not drink carbonated soft drinks,0 days,1 or 2 days
25,13,Male,NA,Never,0 days,1 to 3 times during the past 7 days,1 to 3 times during the past 7 days,4 to 6 times during the past 7 days,1 or 2 days,1 or 2 days
26,13,Female,NA,Never,0 days,1 to 3 times during the past 7 days,1 to 3 times during the past 7 days,1 time per day,0 days,0 days
27,13,Male,NA,Never,4 days,3 times per day,1 time per day,4 or more times per day,0 days,NA
28,14,Female,NA,Never,4 days,1 time per day,I did not eat vegetables during the past 7 days,4 or more times per day,All 30 days,20 to 29 days
29,14,Male,Average weight,Never,0 days,1 to 3 times during the past 7 days,1 time per day,1 to 3 times during the past 7 days,0 days,1 or 2 days
30,13,Male,NA,Never,0 days,I did not eat fruit during the past 7 days,I did not eat vegetables during the past 7 days,3 times per day,0 days,0 days
31,13,Female,NA,Never,0 days,1 to 3 times during the past 7 days,I did not eat vegetables during the past 7 days,1 to 3 times during the past 7 days,6 to 9 days,1 or 2 days
32,13,Female,Average weight,Never,0 days,1 to 3 times during the past 7 days,2 times per day,4 to 6 times during the past 7 days,0 days,0 days
33,14,Female,Average weight,Rarely,2 days,4 to 6 times during the past 7 days,NA,I did not drink carbonated soft drinks,0 days,NA
34,14,Female,Average weight,Never,0 days,4 to 6 times during the past 7 days,4 to 6 times during the past 7 days,4 to 6 times during the past 7 days,0 days,0 days
35,14,Female,NA,Never,NA,I did not eat fruit during the past 7 days,2 times per day,2 times per day,0 days,3 to 5 days
36,14,Male,NA,Never,1 day,1 time per day,2 times per day,3 times per day,0 days,0 days
37,13,Female,NA,Never,1 day,NA,4 to 6 times during the past 7 days,1 to 3 times during the past 7 days,0 days,0 days
38,13,Male,Average weight,Never,0 days,1 to 3 times during the past 7 days,4 or more times per day,4 or more times per day,0 days,6 to 9 days
39,14,Female,NA,NA,0 days,1 to 3 times during the past 7 days,1 to 3 times during the past 7 days,I did not drink carbonated soft drinks,3 to 5 days,6 to 9 days
40,13,Female,Average weight,Rarely,4 days,1 to 3 times during the past 7 days,1 to 3 times during the past 7 days,4 to 6 times during the past 7 days,0 days,10 to 19 days
41,13,Female,Overweight,Never,1 day,I did not eat fruit during the past 7 days,2 times per day,I did not drink carbonated soft drinks,3 to 5 days,6 to 9 days
42,13,Male,Overweight,Never,0 days,I did not eat fruit during the past 7 days,1 to 3 times during the past 7 days,1 to 3 times during the past 7 days,0 days,1 or 2 days
43,15,Male,Average weight,Never,0 days,I did not eat fruit during the past 7 days,I did not eat vegetables during the past 7 days,1 time per day,0 days,0 days
44,14,Female,Overweight,Never,0 days,1 to 3 times during the past 7 days,I did not eat vegetables during the past 7 days,1 to 3 times during the past 7 days,0 days,0 days
45,16,Female,NA,Never,1 day,1 time per day,2 times per day,1 time per day,20 to 29 days,3 to 5 days
46,13,Female,Average weight,Never,0 days,3 times per day,4 to 6 times during the past 7 days,4 to 6 times during the past 7 days,0 days,1 or 2 days
47,13,Male,NA,Never,0 days,1 to 3 times during the past 7 days,2 times per day,1 to 3 times during the past 7 days,0 days,0 days
48,15,Female,Average weight,Never,0 days,1 to 3 times during the past 7 days,2 times per day,4 or more times per day,0 days,3 to 5 days
49,14,Female,Average weight,Rarely,1 day,I did not eat fruit during the past 7 days,1 to 3 times during the past 7 days,4 to 6 times during the past 7 days,0 days,0 days
50,16,Male,Average weight,Never,0 days,4 to 6 times during the past 7 days,4 to 6 times during the past 7 days,1 to 3 times during the past 7 days,0 days,1 or 2 days
51,16,Male,Average weight,Rarely,0 days,I did not eat fruit during the past 7 days,1 to 3 times during the past 7 days,I did not drink carbonated soft drinks,0 days,0 days
52,14,Female,NA,Never,0 days,2 times per day,4 to 6 times during the past 7 days,I did not drink carbonated soft drinks,10 to 19 days,10 to 19 days
53,14,Female,Overweight,Never,1 day,1 time per day,I did not eat vegetables during the past 7 days,3 times per day,1 or 2 days,3 to 5 days
54,15,Male,NA,Never,0 days,2 times per day,1 time per day,1 time per day,0 days,0 days
55,16,Male,Average weight,Never,3 days,I did not eat fruit during the past 7 days,1 to 3 times during the past 7 days,2 times per day,3 to 5 days,20 to 29 days
56,14,Female,NA,Never,0 days,4 to 6 times during the past 7 days,1 to 3 times during the past 7 days,1 to 3 times during the past 7 days,0 days,1 or 2 days
57,15,Male,Underweight,Rarely,0 days,I did not eat fruit during the past 7 days,4 to 6 times during the past 7 days,4 or more times per day,0 days,3 to 5 days
58,15,Male,Average weight,Rarely,0 days,1 to 3 times during the past 7 days,1 time per day,1 to 3 times during the past 7 days,0 days,1 or 2 days
59,16,Male,Average weight,Never,0 days,4 to 6 times during the past 7 days,4 to 6 times during the past 7 days,4 to 6 times during the past 7 days,0 days,3 to 5 days
60,15,Female,Average weight,Never,0 days,1 time per day,2 times per day,2 times per day,0 days,1 or 2 days
61,15,Female,Average weight,Never,0 days,I did not eat fruit during the past 7 days,4 or more times per day,4 or more times per day,0 days,0 days
62,15,Female,Average weight,Rarely,1 day,1 to 3 times during the past 7 days,4 to 6 times during the past 7 days,1 time per day,0 days,1 or 2 days
63,15,Female,NA,Never,7 days,1 to 3 times during the past 7 days,1 to 3 times during the past 7 days,I did not drink carbonated soft drinks,10 to 19 days,10 to 19 days
64,15,Female,NA,Never,0 days,4 or more times per day,4 or more times per day,I did not drink carbonated soft drinks,0 days,3 to 5 days
65,16,Female,Overweight,Never,1 day,4 to 6 times during the past 7 days,1 time per day,1 to 3 times during the past 7 days,0 days,3 to 5 days
66,14,Female,NA,Rarely,0 days,1 to 3 times during the past 7 days,1 to 3 times during the past 7 days,2 times per day,1 or 2 days,1 or 2 days
67,14,Female,Average weight,Never,5 days,1 to 3 times during the past 7 days,1 time per day,4 to 6 times during the past 7 days,0 days,1 or 2 days
68,14,Male,Average weight,Rarely,0 days,4 to 6 times during the past 7 days,4 or more times per day,4 or more times per day,1 or 2 days,10 to 19 days
69,16,Female,Average weight,Never,1 day,1 to 3 times during the past 7 days,1 to 3 times during the past 7 days,3 times per day,All 30 days,0 days
70,15,Female,Overweight,Never,2 days,4 or more times per day,3 times per day,1 time per day,0 days,0 days
71,14,Male,NA,Rarely,0 days,4 to 6 times during the past 7 days,4 or more times per day,4 or more times per day,20 to 29 days,NA
72,15,Male,Average weight,Sometimes,0 days,4 to 6 times during the past 7 days,1 time per day,1 to 3 times during the past 7 days,0 days,3 to 5 days
73,16,Male,NA,Rarely,0 days,I did not eat fruit during the past 7 days,1 to 3 times during the past 7 days,4 to 6 times during the past 7 days,1 or 2 days,3 to 5 days
74,16,Male,Average weight,Never,0 days,3 times per day,2 times per day,I did not drink carbonated soft drinks,0 days,0 days
75,14,Male,NA,Never,0 days,1 to 3 times during the past 7 days,NA,NA,0 days,1 or 2 days
76,16,Female,Average weight,Never,2 days,1 to 3 times during the past 7 days,2 times per day,1 to 3 times during the past 7 days,0 days,10 to 19 days
77,15,Female,Average weight,Never,0 days,I did not eat fruit during the past 7 days,I did not eat vegetables during the past 7 days,1 to 3 times during the past 7 days,0 days,1 or 2 days
78,14,Female,Average weight,Never,7 days,1 to 3 times during the past 7 days,2 times per day,4 or more times per day,0 days,0 days
79,15,Male,Average weight,Never,0 days,4 or more times per day,2 times per day,I did not drink carbonated soft drinks,0 days,6 to 9 days
80,17,Female,Average weight,Never,0 days,1 time per day,I did not eat vegetables during the past 7 days,1 time per day,0 days,1 or 2 days
81,16,Male,Average weight,Never,1 day,I did not eat fruit during the past 7 days,2 times per day,4 to 6 times during the past 7 days,1 or 2 days,10 to 19 days
82,15,Female,Overweight,Never,6 days,1 time per day,1 to 3 times during the past 7 days,1 time per day,20 to 29 days,1 or 2 days
83,17,Male,Average weight,Rarely,0 days,1 to 3 times during the past 7 days,1 to 3 times during the past 7 days,4 to 6 times during the past 7 days,1 or 2 days,10 to 19 days
84,15,Female,NA,Never,1 day,1 to 3 times during the past 7 days,I did not eat vegetables during the past 7 days,4 to 6 times during the past 7 days,0 days,1 or 2 days
85,15,Female,Overweight,Never,1 day,I did not eat fruit during the past 7 days,1 to 3 times during the past 7 days,1 to 3 times during the past 7 days,0 days,10 to 19 days
86,14,Female,Average weight,Never,1 day,1 to 3 times during the past 7 days,1 to 3 times during the past 7 days,1 to 3 times during the past 7 days,1 or 2 days,3 to 5 days
87,16,Male,NA,Never,0 days,I did not eat fruit during the past 7 days,1 to 3 times during the past 7 days,1 to 3 times during the past 7 days,0 days,1 or 2 days
88,15,Male,Overweight,Never,0 days,4 to 6 times during the past 7 days,2 times per day,I did not drink carbonated soft drinks,0 days,1 or 2 days
89,15,Female,Average weight,Never,0 days,1 to 3 times during the past 7 days,4 to 6 times during the past 7 days,I did not drink carbonated soft drinks,0 days,0 days
90,15,Male,NA,Never,0 days,1 time per day,I did not eat vegetables during the past 7 days,3 times per day,0 days,0 days
91,16,Female,NA,Never,1 day,4 to 6 times during the past 7 days,2 times per day,I did not drink carbonated soft drinks,0 days,10 to 19 days
92,15,Female,NA,Never,0 days,4 to 6 times during the past 7 days,4 to 6 times during the past 7 days,4 or more times per day,6 to 9 days,1 or 2 days
93,15,Female,NA,Rarely,0 days,1 time per day,1 to 3 times during the past 7 days,1 time per day,0 days,0 days
94,15,Female,NA,Rarely,0 days,1 to 3 times during the past 7 days,1 to 3 times during the past 7 days,1 to 3 times during the past 7 days,0 days,1 or 2 days
95,17,Male,Average weight,Never,0 days,I did not eat fruit during the past 7 days,4 to 6 times during the past 7 days,2 times per day,0 days,3 to 5 days
96,15,Female,NA,Rarely,2 days,1 time per day,2 times per day,1 to 3 times during the past 7 days,0 days,1 or 2 days
97,16,Female,Average weight,Sometimes,1 day,I did not eat fruit during the past 7 days,4 to 6 times during the past 7 days,1 to 3 times during the past 7 days,1 or 2 days,10 to 19 days
98,16,Female,NA,Never,2 days,1 time per day,1 time per day,2 times per day,0 days,0 days
99,16,Male,Average weight,Never,0 days,1 time per day,1 to 3 times during the past 7 days,4 to 6 times during the past 7 days,0 days,0 days
100,16,Male,Average weight,Never,0 days,I did not eat fruit during the past 7 days,1 to 3 times during the past 7 days,4 or more times per day,0 days,1 or 2 days
101,15,Female,NA,Never,0 days,1 to 3 times during the past 7 days,1 to 3 times during the past 7 days,2 times per day,10 to 19 days,1 or 2 days
102,15,Female,NA,Never,2 days,1 to 3 times during the past 7 days,2 times per day,4 to 6 times during the past 7 days,0 days,1 or 2 days
103,15,Female,NA,Never,0 days,1 to 3 times during the past 7 days,4 to 6 times during the past 7 days,1 time per day,0 days,1 or 2 days
104,15,Female,NA,Sometimes,2 days,4 to 6 times during the past 7 days,3 times per day,1 time per day,0 days,0 days
105,16,Female,NA,Never,0 days,I did not eat fruit during the past 7 days,4 or more times per day,4 or more times per day,0 days,0 days
106,17,Female,Average weight,Rarely,0 days,I did not eat fruit during the past 7 days,I did not eat vegetables during the past 7 days,1 to 3 times during the past 7 days,0 days,6 to 9 days
107,15,Female,Overweight,Never,0 days,1 to 3 times during the past 7 days,4 to 6 times during the past 7 days,2 times per day,0 days,3 to 5 days
108,15,Female,NA,Never,3 days,1 to 3 times during the past 7 days,1 to 3 times during the past 7 days,4 or more times per day,3 to 5 days,10 to 19 days
109,16,Male,Average weight,Never,2 days,2 times per day,2 times per day,4 or more times per day,NA,1 or 2 days
110,17,Female,Average weight,Never,0 days,I did not eat fruit during the past 7 days,1 to 3 times during the past 7 days,4 or more times per day,0 days,1 or 2 days
111,17,Female,Average weight,Never,0 days,I did not eat fruit during the past 7 days,I did not eat vegetables during the past 7 days,4 or more times per day,0 days,1 or 2 days
112,16,Male,NA,Never,0 days,I did not eat fruit during the past 7 days,I did not eat vegetables during the past 7 days,I did not drink carbonated soft drinks,0 days,1 or 2 days
113,17,Male,Average weight,Never,0 days,2 times per day,I did not eat vegetables during the past 7 days,4 or more times per day,All 30 days,1 or 2 days
114,13,Female,Average weight,Never,1 day,1 to 3 times during the past 7 days,4 to 6 times during the past 7 days,4 to 6 times during the past 7 days,0 days,0 days
115,12,Male,Overweight,Never,0 days,1 to 3 times during the past 7 days,I did not eat vegetables during the past 7 days,1 to 3 times during the past 7 days,0 days,0 days
116,13,Male,Average weight,Rarely,1 day,3 times per day,4 to 6 times during the past 7 days,I did not drink carbonated soft drinks,0 days,0 days
117,13,Male,Overweight,Never,0 days,I did not eat fruit during the past 7 days,I did not eat vegetables during the past 7 days,I did not drink carbonated soft drinks,0 days,0 days
118,13,Female,Average weight,Never,0 days,I did not eat fruit during the past 7 days,4 to 6 times during the past 7 days,I did not drink carbonated soft drinks,0 days,0 days
119,13,Female,Average weight,Never,0 days,2 times per day,1 time per day,1 to 3 times during the past 7 days,0 days,NA
120,14,Male,Underweight,Never,1 day,1 to 3 times during the past 7 days,2 times per day,2 times per day,0 days,3 to 5 days
121,13,Male,Overweight,Never,2 days,1 to 3 times during the past 7 days,2 times per day,3 times per day,0 days,0 days
122,13,Female,Overweight,Never,0 days,I did not eat fruit during the past 7 days,I did not eat vegetables during the past 7 days,1 time per day,0 days,0 days
123,13,Female,Overweight,Sometimes,3 days,I did not eat fruit during the past 7 days,1 to 3 times during the past 7 days,4 or more times per day,6 to 9 days,20 to 29 days
124,13,Male,Overweight,Never,1 day,4 to 6 times during the past 7 days,4 to 6 times during the past 7 days,2 times per day,0 days,0 days
125,14,Male,Overweight,Sometimes,0 days,I did not eat fruit during the past 7 days,4 to 6 times during the past 7 days,4 to 6 times during the past 7 days,All 30 days,0 days
126,13,Female,Average weight,Sometimes,0 days,I did not eat fruit during the past 7 days,I did not eat vegetables during the past 7 days,I did not drink carbonated soft drinks,0 days,6 to 9 days
127,13,Male,NA,Sometimes,1 day,I did not eat fruit during the past 7 days,2 times per day,I did not drink carbonated soft drinks,0 days,0 days
128,13,Female,NA,Sometimes,0 days,1 to 3 times during the past 7 days,4 to 6 times during the past 7 days,4 to 6 times during the past 7 days,0 days,1 or 2 days
129,14,Female,Average weight,Sometimes,1 day,1 to 3 times during the past 7 days,1 time per day,4 to 6 times during the past 7 days,0 days,3 to 5 days
130,13,Male,Overweight,Rarely,0 days,1 to 3 times during the past 7 days,4 to 6 times during the past 7 days,1 to 3 times during the past 7 days,0 days,10 to 19 days
131,13,Female,Average weight,Never,3 days,3 times per day,4 or more times per day,1 to 3 times during the past 7 days,0 days,0 days
132,13,Female,Average weight,Never,0 days,4 or more times per day,4 or more times per day,1 to 3 times during the past 7 days,0 days,0 days
133,13,Female,Average weight,Rarely,1 day,2 times per day,1 time per day,1 to 3 times during the past 7 days,0 days,0 days
134,13,Male,Overweight,Never,2 days,1 to 3 times during the past 7 days,4 to 6 times during the past 7 days,4 to 6 times during the past 7 days,0 days,3 to 5 days
135,13,Female,NA,Sometimes,0 days,I did not eat fruit during the past 7 days,1 to 3 times during the past 7 days,1 to 3 times during the past 7 days,0 days,0 days
136,14,Female,NA,Rarely,0 days,1 time per day,4 to 6 times during the past 7 days,1 to 3 times during the past 7 days,1 or 2 days,0 days
137,13,Male,Underweight,Never,0 days,2 times per day,1 time per day,3 times per day,0 days,NA
138,13,Female,Average weight,Rarely,0 days,I did not eat fruit during the past 7 days,4 to 6 times during the past 7 days,1 to 3 times during the past 7 days,0 days,NA
139,13,Female,Average weight,Never,0 days,1 to 3 times during the past 7 days,4 to 6 times during the past 7 days,4 to 6 times during the past 7 days,0 days,0 days
140,15,Male,Average weight,Rarely,0 days,2 times per day,4 to 6 times during the past 7 days,1 time per day,0 days,0 days
141,14,Female,Average weight,Never,3 days,I did not eat fruit during the past 7 days,1 time per day,1 time per day,6 to 9 days,3 to 5 days
142,14,Male,Overweight,Never,0 days,4 to 6 times during the past 7 days,1 time per day,I did not drink carbonated soft drinks,0 days,NA
143,14,Female,NA,Never,2 days,I did not eat fruit during the past 7 days,1 to 3 times during the past 7 days,1 to 3 times during the past 7 days,0 days,1 or 2 days
144,14,Male,Overweight,Never,0 days,1 time per day,1 time per day,1 to 3 times during the past 7 days,0 days,1 or 2 days
145,15,Female,Average weight,Never,3 days,1 to 3 times during the past 7 days,1 time per day,2 times per day,1 or 2 days,6 to 9 days
146,14,Male,NA,Never,1 day,2 times per day,2 times per day,1 to 3 times during the past 7 days,0 days,1 or 2 days
147,14,Male,Average weight,Never,2 days,2 times per day,2 times per day,1 to 3 times during the past 7 days,0 days,1 or 2 days
148,14,Female,Average weight,Never,1 day,2 times per day,1 time per day,1 to 3 times during the past 7 days,0 days,1 or 2 days
149,14,Female,Average weight,Never,0 days,1 to 3 times during the past 7 days,2 times per day,1 to 3 times during the past 7 days,0 days,1 or 2 days
150,14,Female,Average weight,Rarely,0 days,4 to 6 times during the past 7 days,1 to 3 times during the past 7 days,1 to 3 times during the past 7 days,0 days,3 to 5 days
151,14,Male,Overweight,Never,0 days,1 to 3 times during the past 7 days,4 to 6 times during the past 7 days,4 to 6 times during the past 7 days,0 days,1 or 2 days
152,14,Female,Average weight,Sometimes,7 days,1 to 3 times during the past 7 days,1 to 3 times during the past 7 days,4 to 6 times during the past 7 days,NA,6 to 9 days
153,15,Female,Average weight,Sometimes,7 days,1 time per day,1 to 3 times during the past 7 days,4 or more times per day,0 days,0 days
154,14,Female,NA,Never,0 days,1 to 3 times during the past 7 days,1 to 3 times during the past 7 days,1 time per day,0 days,1 or 2 days
155,14,Male,Average weight,Rarely,0 days,I did not eat fruit during the past 7 days,2 times per day,1 to 3 times during the past 7 days,0 days,0 days
156,14,Female,NA,Never,0 days,2 times per day,1 time per day,4 to 6 times during the past 7 days,0 days,1 or 2 days
157,15,Female,NA,Rarely,1 day,3 times per day,1 time per day,3 times per day,0 days,0 days
158,14,Male,Average weight,Sometimes,2 days,4 to 6 times during the past 7 days,2 times per day,4 to 6 times during the past 7 days,3 to 5 days,6 to 9 days
159,13,Male,Average weight,Never,3 days,4 to 6 times during the past 7 days,1 to 3 times during the past 7 days,NA,0 days,3 to 5 days
160,14,Female,NA,Never,0 days,I did not eat fruit during the past 7 days,2 times per day,1 to 3 times during the past 7 days,10 to 19 days,3 to 5 days
161,14,Female,Average weight,Never,0 days,2 times per day,3 times per day,1 to 3 times during the past 7 days,0 days,NA
162,14,Female,NA,Never,0 days,1 to 3 times during the past 7 days,I did not eat vegetables during the past 7 days,1 time per day,0 days,0 days
163,15,Male,Overweight,Sometimes,1 day,1 time per day,2 times per day,1 to 3 times during the past 7 days,0 days,0 days
164,14,Male,Overweight,Never,5 days,1 time per day,3 times per day,1 time per day,0 days,0 days
165,14,Female,NA,Never,0 days,I did not eat fruit during the past 7 days,I did not eat vegetables during the past 7 days,1 to 3 times during the past 7 days,0 days,1 or 2 days
166,15,Female,Average weight,Never,2 days,1 to 3 times during the past 7 days,1 to 3 times during the past 7 days,1 to 3 times during the past 7 days,1 or 2 days,1 or 2 days
167,14,Male,Overweight,Rarely,1 day,4 to 6 times during the past 7 days,4 to 6 times during the past 7 days,1 to 3 times during the past 7 days,0 days,3 to 5 days
168,15,Male,Overweight,Never,1 day,1 to 3 times during the past 7 days,4 to 6 times during the past 7 days,1 time per day,0 days,3 to 5 days
169,14,Male,Overweight,Never,0 days,1 to 3 times during the past 7 days,I did not eat vegetables during the past 7 days,I did not drink carbonated soft drinks,1 or 2 days,3 to 5 days
170,14,Male,Average weight,Never,1 day,4 to 6 times during the past 7 days,4 to 6 times during the past 7 days,1 to 3 times during the past 7 days,0 days,1 or 2 days
171,15,Female,Overweight,Never,0 days,2 times per day,2 times per day,I did not drink carbonated soft drinks,0 days,0 days
172,15,Female,Overweight,Never,0 days,I did not eat fruit during the past 7 days,2 times per day,1 to 3 times during the past 7 days,0 days,1 or 2 days
173,15,Female,Average weight,Rarely,1 day,4 to 6 times during the past 7 days,2 times per day,1 time per day,0 days,0 days
174,15,Female,Average weight,Sometimes,2 days,1 time per day,4 or more times per day,2 times per day,10 to 19 days,6 to 9 days
175,15,Female,Average weight,Never,1 day,I did not eat fruit during the past 7 days,2 times per day,I did not drink carbonated soft drinks,0 days,1 or 2 days
176,15,Female,Average weight,Never,6 days,2 times per day,4 to 6 times during the past 7 days,3 times per day,20 to 29 days,3 to 5 days
177,15,Female,Average weight,Sometimes,0 days,1 time per day,1 to 3 times during the past 7 days,4 to 6 times during the past 7 days,0 days,0 days
178,15,Male,Average weight,Never,4 days,I did not eat fruit during the past 7 days,I did not eat vegetables during the past 7 days,2 times per day,0 days,0 days
179,15,Female,Overweight,Never,1 day,2 times per day,2 times per day,I did not drink carbonated soft drinks,0 days,1 or 2 days
180,15,Male,NA,Never,0 days,I did not eat fruit during the past 7 days,I did not eat vegetables during the past 7 days,4 to 6 times during the past 7 days,0 days,0 days
181,15,Male,Average weight,Never,1 day,1 to 3 times during the past 7 days,4 to 6 times during the past 7 days,I did not drink carbonated soft drinks,0 days,0 days
182,15,Male,Overweight,Rarely,0 days,4 to 6 times during the past 7 days,4 to 6 times during the past 7 days,4 to 6 times during the past 7 days,0 days,1 or 2 days
183,15,Female,NA,Never,4 days,4 to 6 times during the past 7 days,I did not eat vegetables during the past 7 days,4 to 6 times during the past 7 days,0 days,0 days
184,15,NA,NA,Never,0 days,I did not eat fruit during the past 7 days,1 to 3 times during the past 7 days,4 or more times per day,0 days,1 or 2 days
185,15,Male,Average weight,Rarely,2 days,I did not eat fruit during the past 7 days,I did not eat vegetables during the past 7 days,2 times per day,0 days,1 or 2 days
186,15,Female,Average weight,Rarely,1 day,1 to 3 times during the past 7 days,2 times per day,1 to 3 times during the past 7 days,0 days,0 days
187,15,Female,Overweight,Rarely,1 day,2 times per day,2 times per day,4 to 6 times during the past 7 days,0 days,10 to 19 days
188,15,Female,Average weight,Never,1 day,1 to 3 times during the past 7 days,4 to 6 times during the past 7 days,1 to 3 times during the past 7 days,0 days,3 to 5 days
189,15,Male,Average weight,Never,1 day,4 to 6 times during the past 7 days,1 time per day,1 time per day,0 days,10 to 19 days
190,16,Male,Average weight,Sometimes,1 day,1 time per day,1 time per day,1 to 3 times during the past 7 days,0 days,0 days
191,15,Female,Average weight,Never,0 days,2 times per day,1 to 3 times during the past 7 days,I did not drink carbonated soft drinks,0 days,1 or 2 days
192,15,Female,Average weight,Never,2 days,1 time per day,4 to 6 times during the past 7 days,1 to 3 times during the past 7 days,All 30 days,3 to 5 days
193,15,Female,Overweight,Never,3 days,1 to 3 times during the past 7 days,I did not eat vegetables during the past 7 days,1 to 3 times during the past 7 days,1 or 2 days,3 to 5 days
194,16,Female,Overweight,Sometimes,1 day,1 to 3 times during the past 7 days,4 to 6 times during the past 7 days,4 to 6 times during the past 7 days,1 or 2 days,0 days
195,15,Male,Average weight,Never,0 days,1 to 3 times during the past 7 days,I did not eat vegetables during the past 7 days,I did not drink carbonated soft drinks,0 days,1 or 2 days
196,15,Female,Average weight,Rarely,0 days,1 to 3 times during the past 7 days,1 to 3 times during the past 7 days,4 or more times per day,1 or 2 days,3 to 5 days
197,15,Female,Overweight,Never,1 day,1 to 3 times during the past 7 days,4 to 6 times during the past 7 days,4 to 6 times during the past 7 days,10 to 19 days,6 to 9 days
198,16,Female,NA,Never,1 day,1 to 3 times during the past 7 days,2 times per day,4 or more times per day,0 days,6 to 9 days
199,15,Female,NA,Never,0 days,3 times per day,3 times per day,I did not drink carbonated soft drinks,0 days,0 days
200,16,Female,Overweight,Never,0 days,1 time per day,2 times per day,1 to 3 times during the past 7 days,0 days,0 days
201,16,Male,Average weight,Never,0 days,1 time per day,I did not eat vegetables during the past 7 days,1 time per day,0 days,0 days
202,16,Female,Overweight,Rarely,0 days,I did not eat fruit during the past 7 days,1 time per day,I did not drink carbonated soft drinks,0 days,1 or 2 days
203,16,Female,NA,Sometimes,0 days,I did not eat fruit during the past 7 days,1 to 3 times during the past 7 days,1 to 3 times during the past 7 days,0 days,0 days
204,16,Male,Average weight,Never,0 days,4 to 6 times during the past 7 days,4 to 6 times during the past 7 days,I did not drink carbonated soft drinks,0 days,0 days
205,16,Female,Average weight,Never,0 days,1 to 3 times during the past 7 days,1 to 3 times during the past 7 days,4 to 6 times during the past 7 days,0 days,0 days
206,17,Female,Average weight,Never,0 days,I did not eat fruit during the past 7 days,1 time per day,I did not drink carbonated soft drinks,0 days,1 or 2 days
207,16,Male,Average weight,Never,1 day,I did not eat fruit during the past 7 days,1 to 3 times during the past 7 days,1 to 3 times during the past 7 days,0 days,1 or 2 days
208,16,Male,Average weight,Never,0 days,1 to 3 times during the past 7 days,2 times per day,4 to 6 times during the past 7 days,0 days,3 to 5 days
209,17,Female,NA,Rarely,2 days,I did not eat fruit during the past 7 days,4 to 6 times during the past 7 days,4 to 6 times during the past 7 days,1 or 2 days,6 to 9 days
210,17,NA,NA,Never,0 days,2 times per day,2 times per day,I did not drink carbonated soft drinks,0 days,0 days
